complaint,aliases,clinical_terms,condition,lang,source
minor change in elimination,,minor change in elimination | no blood | no pain | normal urination | normal eating | normal energy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
reduced appetite,,reduced appetite | soft stool | minor eye discharge | intermittent limp | chewing paws | chewing legs | sweating | dry or tacky gums | lying down,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
frequent yawning,,frequent yawning | minor tartar buildup | low energy after play | excessive shedding | minor skin redness | difficulty in breathing | swelling problem | bleeding from wounds | anorexia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
muscle pain,,muscle pain | diarrhea | upset stomach | vomiting | muscle stiffness | fever | muscle weakness | abdonormal discomfort | constant pacing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
tenderness,,tenderness | erythema | swelling | scartch | pain | swollen | testical pain | itches | bloody discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
salivation,,salivation | fever | diarrhea | vomiting | decrease appetite | depression | relunctance to move | nasal discharge | lack of coordination,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
soft stool,,soft stool | reduced appetite | minor eye discharge | intermittent limp | chewing paws | chewing legs | minor skin dryness | no fever | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swelling of face or leg,,swelling of face or leg | fever | depression | pains | poor appetite | oedema | swelling of neck | weight loss | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
enlarged lymph nodes,,enlarged lymph nodes | diarrhea | ulcers | tarry stool | poor appetite | poor condition | weight loss | pain | back pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swollen lymph nodes,,swollen lymph nodes | difficulty walking | lethargy | vaginal discharge | back pain | fever | nasal discharge | muscular stiffness | depression,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lession on the skin,,lession on the skin | jaundice | pneumonia | pain | vomitting | fever | slightly swollen | milky hard | papules appear on teats anad udder,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
seasonal hair loss,,seasonal hair loss | itchy skin | mild sneezing | minor dandruff | occasional paw licking | occasional scratching | clear nasal discharge | normal appetite | active grazing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swelling on leg,,swelling on leg | nasal discharge | painfull | broken bones | heat | hardness | redness | pain | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
noisy breathing,,noisy breathing | lesions on nose | lesions in the nasal cavity | nose bleeds | outstretched neck | dull ness | inappetence | coughing | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
runny nose,,runny nose | loss of appettite | strong cough | lethargy | sneezing | difficulty in breathing | coughing | weakness | darkened skin,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
joint pain,,joint pain | fever | coughing | loss of  appetite | lethargy | chills | progressive weakness | lession on the skin,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
temporary limp after running,,temporary limp after running | quick recovery | no swelling | minor skin irritation | normal temperature,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
frequent gentle sneezing,,frequent gentle sneezing | no cough | no fever | clear eyes | active,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
occasional head shaking,,occasional head shaking | minor ear wax build-up | clear nasal discharge | frequent stretching | healthy appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor ear wax build-up,,minor ear wax build-up | occasional head shaking | clear nasal discharge | frequent stretching | healthy appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
low energy after play,,low energy after play | minor tartar buildup | frequent yawning | excessive shedding | minor skin redness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor tartar buildup,,minor tartar buildup | frequent yawning | low energy after play | excessive shedding | minor skin redness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor eye discharge,,minor eye discharge | reduced appetite | soft stool | intermittent limp | chewing paws | chewing legs,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
frequent stretching,,frequent stretching | minor ear wax build-up | occasional head shaking | clear nasal discharge | healthy appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
frequent scratching,,frequent scratching | minor skin scaly patch | no pain | no swelling | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
discharge from eye,,discharge from eye | lethargy | diarrhea | vomiting | anorexia | fever | ulcer | scabs | pains,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
excessive shedding,,excessive shedding | minor tartar buildup | frequent yawning | low energy after play | minor skin redness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
normal temperature,,normal temperature | temporary limp after running | quick recovery | no swelling | minor skin irritation,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
decrease appetite,,decrease appetite | fever | diarrhea | vomiting | salivation | abortion on late pregancy | stillbirth | retained placenda | endomeritis,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
distended stomach,,distended stomach | nausea | loss of appetite | vomiting | firm | weakness | decreased stool production | heavy breathing | restless movement,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
intermittent limp,,intermittent limp | reduced appetite | soft stool | minor eye discharge | chewing paws | chewing legs,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
frequent grooming,,frequent grooming | no weight loss | normal appetite | hairballs | occasional vomiting | occasional soft stool | minor fur matting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
healthy appetite,,healthy appetite | minor ear wax build-up | occasional head shaking | clear nasal discharge | frequent stretching,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
minor gingivitis,,minor gingivitis | no bleeding | no swelling | normal eating | normal drinking,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
quick recovery,,quick recovery | temporary limp after running | no swelling | minor skin irritation | normal temperature,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
eye disharge,,eye disharge | pnemonia | loss of  appetite | lameness | arthritis | sharp feather | clubbed feather | loss of powder down | diarrhea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
itchy skin,,itchy skin | seasonal hair loss | mild sneezing | minor dandruff | occasional paw licking | occasional scratching,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
straining,,straining | diarrhea | vomiting | weight loss | blindness | tail wagging | lethargy | weakness,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
bad smell,,bad smell | shaking head | scartching ear | black on ear | red and inflammation ear | red tinge | slim over the shell | easily damage shell | flaking of the scutes,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
twitching,,twitching | convulsion | loss of consciousness | chewing | salivating | unsteady gait | blindness | swelling on joints | pains,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
no tartar,,no tartar | minor bad breath | no swelling | normal eating | normal grooming,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
sickness,,sickness | weight loss | loss of  appetite | vomiting | raised growth or bump | diarrhea | nausea | dehydration,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
anaemia,,anaemia | upset stomach | diarrhea | coughing | weight loss | feline infections | lymphosarcoma | difficulty breating | stomatitis,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
enlarged lymph nodes or swelling,,enlarged lymph nodes or swelling | fever | difficulty breathing | weight loss | thrist and urination | reduce energy,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
greenish-yellow nasal discharge,,greenish-yellow nasal discharge | lack of pigmentation | lethargy | pain on face | sneezing | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
severe weekness and depression,,severe weekness and depression | fever | diarrhea | stiffness | abdominal pain | sneezing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lesions in the nasal cavity,,lesions in the nasal cavity | lesions on nose | noisy breathing | nose bleeds | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
weekness in the back legs,,weekness in the back legs | short term lethargy | loss of  appetite | rapid heart rate | week pulse | fever | respiratory distress | hyperesthesia | sudden death,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
chronic eye inflamation,,chronic eye inflamation | fever | lethargy | neurologic abnormalities | poor appetite | coughing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
occasional paw licking,,occasional paw licking | seasonal hair loss | itchy skin | mild sneezing | minor dandruff,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
thrist and urination,,thrist and urination | fever | difficulty breathing | weight loss | enlarged lymph nodes or swelling | lethargy | sneezing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
diarrhea with muscus,,diarrhea with muscus | tensemus | flatulence | pains | watery stool | nose bleeds,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
crusting of the skin,,crusting of the skin | hair loss | dandruff | ulcerated skin | darkened skin | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lack of pigmentation,,lack of pigmentation | greenish-yellow nasal discharge | lethargy | pain on face | sneezing | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
short term lethargy,,short term lethargy | loss of  appetite | rapid heart rate | week pulse | weekness in the back legs | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
eye and skin change,,eye and skin change | fever | difficulty breathing | unable to exercise | coughing | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
difficulty walking,,difficulty walking | swollen lymph nodes | lethargy | vaginal discharge | back pain | watery stool,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swelling of joints,,swelling of joints | fever | loss of  appetite | lameness | reduce energy | coughing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
unable to exercise,,unable to exercise | fever | difficulty breathing | eye and skin change | coughing | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
vaginal discharge,,vaginal discharge | swollen lymph nodes | difficulty walking | lethargy | back pain | watery stool,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
rapid heart rate,,rapid heart rate | short term lethargy | loss of  appetite | week pulse | weekness in the back legs | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lossened teeth,,lossened teeth | facial swelling | bloody drool | unable to eat | foul breath | abdominal pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
ulcerated skin,,ulcerated skin | hair loss | dandruff | crusting of the skin | darkened skin | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
scartching ear,,scartching ear | shaking head | black on ear | bad smell | red and inflammation ear | head shking | discharge from ear | odor to ear | redness on ear,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
hyperesthesia,,hyperesthesia | fever | respiratory distress | sudden death | seizuers | weekness in the back legs,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
unable to eat,,unable to eat | facial swelling | bloody drool | lossened teeth | foul breath | abdominal pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
reduce energy,,reduce energy | fever | loss of  appetite | lameness | swelling of joints | difficulty breathing | weight loss | enlarged lymph nodes or swelling,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
inflammed eye,,inflammed eye | fever | depression | limping | coughing | sneezing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
darkened skin,,darkened skin | hair loss | dandruff | crusting of the skin | ulcerated skin | strong cough | runny nose | lethargy | loss of appettite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
mild dandruff,,mild dandruff | mild conjunctivitis | mild sneezing | mild limping | mild hair loss | mild nasal discharge | minor hair loss | slight limp | mild swelling at vaccination site,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
bloody drool,,bloody drool | facial swelling | unable to eat | lossened teeth | foul breath | abdominal pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
broken bones,,broken bones | nasal discharge | swelling on leg | painfull | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
watery stool,,watery stool | diarrhea with muscus | tensemus | flatulence | pains | swollen lymph nodes | difficulty walking | lethargy | vaginal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
strong cough,,strong cough | runny nose | lethargy | loss of appettite | sneezing | darkened skin,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
pain on face,,pain on face | greenish-yellow nasal discharge | lack of pigmentation | lethargy | sneezing | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
inflammation,,inflammation | sensitivity to bright light | disharge from affected eye | clouded cornea | rubbing eye | discomfort | kicking at the belly | urine infection | pains,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
tarry stool,,tarry stool | ulcers | diarrhea | enlarged lymph nodes | poor appetite | back pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nose bleeds,,nose bleeds | lesions on nose | lesions in the nasal cavity | noisy breathing | diarrhea with muscus | tensemus | flatulence | pains,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
week pulse,,week pulse | short term lethargy | loss of  appetite | rapid heart rate | weekness in the back legs | poor appetite,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
flatulence,,flatulence | diarrhea with muscus | tensemus | pains | watery stool | nose bleeds,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
back pain,,back pain | swollen lymph nodes | difficulty walking | lethargy | vaginal discharge | ulcers | diarrhea | tarry stool | enlarged lymph nodes,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
blue eye,,blue eye | fever | diarrhea | lethargy | coughing | nasal discharge,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
tensemus,,tensemus | diarrhea with muscus | flatulence | pains | watery stool | nose bleeds,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
dandruff,,dandruff | hair loss | crusting of the skin | ulcerated skin | darkened skin | vomiting,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
sensitivity to bright light,,sensitivity to bright light | disharge from affected eye | inflammation | clouded cornea | rubbing eye,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
disharge from affected eye,,disharge from affected eye | sensitivity to bright light | inflammation | clouded cornea | rubbing eye,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swelling  in the bite area,,swelling  in the bite area | fever | lethargy | limp | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
"bumps(black,grey or red)",,"bumps(black,grey or red) | ulcers | lesions | scabs | lumps",KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
red and inflammation ear,,red and inflammation ear | shaking head | scartching ear | black on ear | bad smell,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
intellectual disability,,intellectual disability | floopy muscle | speech delay | walking problem | eye movements,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
shyness or aggression,,shyness or aggression | fever | seizures | hydrophobia | jaw is dropped,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
raised growth or bump,,raised growth or bump | sickness | loss of  appetite | vomiting | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
loss of consciousness,,loss of consciousness | convulsion | chewing | twitching | salivating,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
scaly patches of skin,,scaly patches of skin | sore | scabs | scartch | hair loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
dandruff in cat coat,,dandruff in cat coat | lession on cat skin | red patches | hair loss | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
poor coat apperence,,poor coat apperence | diarrhea | vomiting | weight loss | dehydration,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
willnot run to jump,,willnot run to jump | limping | swelling | week legs | pain on leg,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
diffculty breathing,,diffculty breathing | bloody urine | vomiting | weight loss | anorexia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lession on cat skin,,lession on cat skin | dandruff in cat coat | red patches | hair loss | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
dark or black face,,dark or black face | diarrhea | vomiting | blood in faces | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
periodic vommiting,,periodic vommiting | attacks | loss of  appetite | coughing | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
exessive urination,,exessive urination | change in gait | vomiting | weight loss | inability to jump,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
excessive grooming,,excessive grooming | skin irritation | scartching | lethargy | hair loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
allergic reaction,,allergic reaction | poor appetite | coughing | weight loss | distended chest,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
inflamed nostrils,,inflamed nostrils | nasal discharge | nosebleeds | sneezing | lound breathing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
inability to jump,,inability to jump | exessive urination | change in gait | vomiting | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
muscle stiffness,,muscle stiffness | upset stomach | diarrhea | vomiting | muscle pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
diffulty chewing,,diffulty chewing | nasal bleeding | swelling | weight loss | anorexia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
stomach growling,,stomach growling | gasc | loss of  appetite | blood in stool | black stool,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
effort to breath,,effort to breath | wheezing | rapid breathing | coughing | swallowing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
ocular discharge,,ocular discharge | fever | mild sneezing | coughing | nasal,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
distended chest,,distended chest | allergic reaction | poor appetite | coughing | weight loss,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
appetite varies,,appetite varies | diarrhea | vomiting | weight loss | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
lound breathing,,lound breathing | nasal discharge | nosebleeds | inflamed nostrils | sneezing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
rapid breathing,,rapid breathing | wheezing | coughing | swallowing | effort to breath,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
skin irritation,,skin irritation | scartching | lethargy | hair loss | excessive grooming,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
walking problem,,walking problem | floopy muscle | speech delay | intellectual disability | eye movements,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
jaw is dropped,,jaw is dropped | fever | seizures | hydrophobia | shyness or aggression,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
blood in faces,,blood in faces | dark or black face | diarrhea | vomiting | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nasal bleeding,,nasal bleeding | diffulty chewing | swelling | weight loss | anorexia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
blood in stool,,blood in stool | gasc | loss of  appetite | stomach growling | black stool,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
change in gait,,change in gait | exessive urination | vomiting | weight loss | inability to jump,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
clouded cornea,,clouded cornea | sensitivity to bright light | disharge from affected eye | inflammation | rubbing eye,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
floopy muscle,,floopy muscle | speech delay | intellectual disability | walking problem | eye movements,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
eye movements,,eye movements | floopy muscle | speech delay | intellectual disability | walking problem,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
liver disease,,liver disease | fever | loss of appetite | eyeproblem | nuerological,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
bloody urine,,bloody urine | diffculty breathing | vomiting | weight loss | anorexia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
shaking head,,shaking head | scartching ear | black on ear | bad smell | red and inflammation ear,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
black on ear,,black on ear | shaking head | scartching ear | bad smell | red and inflammation ear,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
speech delay,,speech delay | floopy muscle | intellectual disability | walking problem | eye movements,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nuerological,,nuerological | fever | loss of appetite | eyeproblem | liver disease,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
foul breath,,foul breath | facial swelling | bloody drool | unable to eat | lossened teeth,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
pain on leg,,pain on leg | limping | willnot run to jump | swelling | week legs,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
hydrophobia,,hydrophobia | fever | seizures | jaw is dropped | shyness or aggression,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
fell unwell,,fell unwell | loss of eat | lethargy | weight loss | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
black stool,,black stool | gasc | loss of  appetite | blood in stool | stomach growling,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
blood stool,,blood stool | diarrhea | coughing | weight loss | anemia,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
red patches,,red patches | lession on cat skin | dandruff in cat coat | hair loss | skin issue,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
rubbing eye,,rubbing eye | sensitivity to bright light | disharge from affected eye | inflammation | clouded cornea,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
fatty stool,,fatty stool | diarrhea | vomiting | weight loss | pain,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
nosebleeds,,nosebleeds | nasal discharge | inflamed nostrils | sneezing | lound breathing,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
salivating,,salivating | convulsion | loss of consciousness | chewing | twitching,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
swallowing,,swallowing | wheezing | rapid breathing | coughing | effort to breath,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
scartching,,scartching | skin irritation | lethargy | hair loss | excessive grooming,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
eyeproblem,,eyeproblem | fever | loss of appetite | liver disease | nuerological,KaggleAnimalDisease,en,kaggle:gracehephzibahm/animal-disease
